iter	Passed	Remaining
0	170	170347
1	173	86591
2	266	88717
3	366	91360
4	368	73312
5	369	61282
6	371	52660
7	372	46187
8	373	41151
9	375	37126
10	376	33828
11	377	31078
12	378	28753
13	379	26762
14	381	25035
15	382	23525
16	383	22191
17	384	21001
18	386	19937
19	387	18991
20	388	18124
21	389	17333
22	391	16610
23	392	15944
24	393	15333
25	394	14768
26	395	14244
27	396	13757
28	397	13303
29	398	12880
30	399	12486
31	400	12120
32	401	11775
33	402	11448
34	403	11137
35	405	10845
36	406	10569
37	407	10306
38	408	10058
39	409	9826
40	410	9605
41	411	9394
42	413	9193
43	414	9000
44	415	8815
45	416	8636
46	417	8469
47	418	8309
48	420	8155
49	421	8007
50	422	7866
51	423	7729
52	425	7597
53	426	7473
54	427	7350
55	429	7234
56	430	7120
57	431	7011
58	432	6905
59	434	6802
60	435	6703
61	436	6603
62	437	6510
63	439	6420
64	440	6332
65	441	6246
66	442	6163
67	443	6083
68	445	6005
69	446	5929
70	447	5854
71	448	5782
72	449	5713
73	451	5645
74	452	5578
75	453	5514
76	454	5451
77	455	5387
78	456	5326
79	457	5265
80	458	5206
81	459	5148
82	460	5087
83	461	5032
84	462	4979
85	463	4927
86	464	4877
87	465	4827
88	466	4779
89	467	4731
90	468	4684
91	469	4638
92	471	4593
93	472	4550
94	473	4508
95	474	4466
96	475	4424
97	476	4384
98	477	4344
99	478	4305
100	479	4267
101	480	4230
102	481	4195
103	482	4160
104	484	4126
105	485	4093
106	486	4061
107	488	4031
108	489	4000
109	490	3970
110	491	3938
111	492	3908
112	494	3879
113	495	3850
114	496	3822
115	498	3795
116	499	3766
117	500	3739
118	501	3713
119	502	3686
120	504	3662
121	505	3635
122	506	3610
123	507	3587
124	509	3563
125	510	3540
126	511	3515
127	512	3492
128	513	3469
129	515	3446
130	516	3424
131	517	3402
132	518	3380
133	519	3359
134	521	3339
135	522	3318
136	523	3298
137	524	3278
138	526	3259
139	527	3239
140	528	3220
141	529	3198
142	530	3178
143	531	3158
144	532	3139
145	533	3120
146	534	3101
147	535	3083
148	536	3065
149	537	3048
150	538	3030
151	540	3012
152	541	2995
153	542	2979
154	543	2963
155	544	2947
156	545	2930
157	546	2914
158	547	2898
159	548	2882
160	549	2864
161	550	2849
162	552	2835
163	553	2820
164	554	2806
165	555	2792
166	557	2778
167	558	2765
168	559	2752
169	561	2739
170	562	2726
171	563	2712
172	564	2699
173	566	2687
174	567	2674
175	568	2661
176	569	2649
177	571	2636
178	572	2624
179	573	2612
180	574	2601
181	576	2589
182	577	2577
183	578	2565
184	579	2553
185	581	2542
186	582	2531
187	583	2520
188	584	2509
189	586	2498
190	587	2488
191	588	2477
192	589	2466
193	591	2455
194	592	2444
195	593	2434
196	594	2423
197	595	2413
198	597	2403
199	598	2393
200	599	2383
201	600	2374
202	602	2365
203	603	2355
204	604	2345
205	606	2336
206	607	2326
207	608	2317
208	609	2307
209	611	2298
210	612	2289
211	613	2280
212	614	2271
213	616	2263
214	617	2254
215	618	2245
216	619	2236
217	621	2227
218	622	2219
219	623	2210
220	624	2201
221	625	2192
222	626	2183
223	628	2175
224	629	2167
225	630	2159
226	631	2150
227	633	2144
228	634	2136
229	635	2128
230	637	2120
231	638	2113
232	639	2105
233	640	2097
234	641	2089
235	643	2081
236	644	2074
237	645	2066
238	646	2059
239	648	2052
240	649	2044
241	650	2037
242	651	2030
243	652	2023
244	654	2015
245	655	2008
246	656	2001
247	657	1994
248	658	1987
249	660	1980
250	661	1974
251	662	1966
252	663	1959
253	664	1952
254	666	1946
255	667	1939
256	668	1933
257	669	1926
258	671	1920
259	672	1914
260	673	1908
261	675	1901
262	676	1895
263	677	1888
264	678	1882
265	680	1876
266	681	1870
267	682	1864
268	683	1858
269	684	1851
270	686	1845
271	687	1839
272	688	1833
273	689	1827
274	690	1821
275	692	1815
276	693	1809
277	694	1803
278	695	1798
279	697	1792
280	698	1786
281	699	1781
282	700	1775
283	701	1769
284	703	1764
285	704	1759
286	705	1753
287	707	1748
288	708	1742
289	709	1737
290	710	1732
291	712	1726
292	713	1721
293	714	1716
294	715	1710
295	717	1705
296	718	1700
297	719	1695
298	721	1690
299	722	1685
300	723	1680
301	724	1675
302	726	1670
303	727	1665
304	728	1660
305	729	1655
306	731	1650
307	732	1645
308	733	1640
309	735	1636
310	736	1631
