iter	RMSE
0	13.68854305
1	13.25613612
2	12.83653073
3	12.46644708
4	12.06953208
5	11.71890623
6	11.36044882
7	11.04824596
8	10.72469337
9	10.3894943
10	10.0565029
11	9.761382113
12	9.475863829
13	9.199994116
14	8.923429815
15	8.654921122
16	8.39341507
17	8.149778038
18	7.907139213
19	7.674815919
20	7.473812316
21	7.283906466
22	7.085086081
23	6.891687606
24	6.699183676
25	6.531765558
26	6.355907544
27	6.189374442
28	6.014828805
29	5.872847691
30	5.721916307
31	5.565931189
32	5.423444183
33	5.281605951
34	5.141969491
35	5.022139158
36	4.890258117
37	4.77489861
38	4.66218878
39	4.552579472
40	4.453163984
41	4.355971753
42	4.254584813
43	4.161567961
44	4.073735927
45	3.988168357
46	3.908388467
47	3.828797076
48	3.752654551
49	3.679417022
50	3.612940581
51	3.536016564
52	3.47113869
53	3.402762533
54	3.341571149
55	3.283974021
56	3.228407889
57	3.173375872
58	3.123162661
59	3.071713382
60	3.029232826
61	2.979323982
62	2.93718973
63	2.890672811
64	2.848571886
65	2.803954063
66	2.767504335
67	2.729795191
68	2.691237552
69	2.65514784
70	2.62101752
71	2.589595253
72	2.555182262
73	2.521039495
74	2.492744181
75	2.465878018
76	2.441352364
77	2.412083693
78	2.3873054
79	2.361420183
80	2.341897439
81	2.321982229
82	2.302529818
83	2.280838771
84	2.26251276
85	2.247684383
86	2.229467924
87	2.212396441
88	2.195524586
89	2.179665322
90	2.165153437
91	2.149818415
92	2.136106925
93	2.124371945
94	2.111060508
95	2.097913864
96	2.085982722
97	2.074197853
98	2.063329798
99	2.052784821
100	2.042752702
101	2.033368015
102	2.024886511
103	2.012694884
104	2.004902051
105	1.994997816
106	1.985384112
107	1.978418088
108	1.971147314
109	1.963449538
110	1.956448962
111	1.94911229
112	1.942536017
113	1.935827186
114	1.930825752
115	1.925091332
116	1.9190786
117	1.913378163
118	1.90726682
119	1.901642214
120	1.898306929
121	1.893825909
122	1.888216186
123	1.883399186
124	1.878336574
125	1.874899981
126	1.870351261
127	1.865788774
128	1.861392334
129	1.857984919
130	1.854524932
131	1.851782866
132	1.848256644
133	1.84308866
134	1.839183506
135	1.8357199
136	1.832158182
137	1.828251891
138	1.825130777
139	1.823539834
140	1.82051399
141	1.817881386
142	1.81342574
143	1.810298363
144	1.807383592
145	1.80498449
146	1.801041491
147	1.798048467
148	1.794849376
149	1.791646982
150	1.788225723
151	1.785666078
152	1.783177125
153	1.779388286
154	1.77658178
155	1.774148794
156	1.77221974
157	1.770239363
158	1.767402459
159	1.764852419
160	1.762808373
161	1.760233213
162	1.757555178
163	1.754524359
164	1.751887653
165	1.74969656
166	1.746934271
167	1.745417508
168	1.743720098
169	1.741512341
170	1.739673312
171	1.737899377
172	1.735791025
173	1.732845051
174	1.730878914
175	1.728820203
176	1.726083525
177	1.723859084
178	1.721570204
179	1.720189463
180	1.71842665
181	1.717628103
182	1.716258529
183	1.715292858
184	1.713771927
185	1.711963521
186	1.709611732
187	1.706839816
188	1.705354723
189	1.70393291
190	1.702427327
191	1.700790005
192	1.699027026
193	1.69739513
194	1.696334563
195	1.69494187
196	1.69364356
197	1.691011035
198	1.69024555
199	1.68823144
200	1.686788492
201	1.685009533
202	1.683359879
203	1.681508592
204	1.679127557
205	1.67734271
206	1.676414291
207	1.67365968
208	1.672492694
209	1.670878383
210	1.669739619
211	1.668258368
212	1.666616439
213	1.665048784
214	1.663772876
215	1.661986176
216	1.660504426
217	1.659803167
218	1.658275607
219	1.657169319
220	1.655174139
221	1.654095068
